text,compound,label
"ramah banget",0,1
"update kok dibuka",0,1
good,0,1
good,0,1
"sangat membantu",0,1
"pakai promo gocar drivernya gk mau ambil disisi drivernya gimana untungnya dgn harga segitu gk imbang sama bbmnya makanya mengecewakan keduanya diilangin aja",0.6,2
"keren lah pokoknya",0,1
mantab,0,1
"aplikasi jelek mau login aja ribet",-0.6,0
"jangan pakai gopaylater dendanya telat bunga nya gede ga kata dulu cuman dikenakan biaya admin saham kalo udah kaya pinjol",0,1
"aplikasi anj telat bayar gopay katanya padahal tagihannya pas ditgl feb dendanya rb ga ngotak emang",0,1
"mudah aman",0,1
"daftarnya susah parah",-1.2,0
,0,1
keren,0,1
"cepat mantap",1,2
"lebih praktis sih lebih aman aplikasinya sangat bermanfaat",0,1
"pelayanan bagus",0.5,2
"sangat mudah penggunaan aman",0,1
baik,0.5,2
"mesen gofood ribet banget harga tertera xxx pesen custom minimal harga malah nambah x lipat ga jelass",-0.3,0
"memperbudak orang sebuah sistem disaat kepepet update dahal bulan ga update skip",0,1
"mantap amanah",1,2
"udah update sama gak bedanya koneksi gaada padahal kuota",0,1
"pertama applikasinya sangat bagus ribet sangat mudah penggunaannya kedua driverbikers nya komunikatif sopan selalu nengutamakan keselamatan penumpang dirinya sendiri ketiga tarifnya mahal mampu bersaing disebelahnya",0.2,2
"pesan gofood sekarang dapet driver nya lama bangetmohon sistem dirubah dulu cari driver capetpesen mode reguler kok dapet driver menitniat pesan biyar capet nunggu lama bangetmohon rubah sistem nya",0,1
"limit gopay pinjam u penguna baru kecil sekali cuma k",0,1
"blan gopaylater dibokir sdah bayar tepat wkt jga gak dipakai limit ditambah penyelesaian masalah tdk solusi gak gunanya siiih",0,1
"gak jelas aplikasinya tiba masa gojek gak digunakan payahh padahal butuh bgt",0,1
"oke bos",0,1
"saldo gapay later banyak status diblokir pemberitahuan mau kasi bintang ga jadi kayak ga niat ga percaya kasi percuma dikasi ga gunakan",0,1
terimakasih,0,1
"susah akses",-0.6,0
"gojek ngak usah kasih promo sampe discount kalau pesan driver ngak mau ambilaplikasi besar profesional",0.6,2
"apl andalan",0,1
"ko aplikasi gomart nya pakai gopay latter padahal bayar selalu tepat waktu loh",0,1
"semoga dapet bonuss banyak aamiin",0,1
"apk apa gue mau pesen makan mala eror mulu",0,1
"peta citra garden puri seman diupdate driver sering salah jalan membuat tarif lebih tinggi mutar",-0.5,0
mantap,1,2
"hampir tahun gopaylater bekukan blokir chat cs gak hitung tetep aja akhir cuma cara uninstal",0,1
"tiba ganti hp gopaylater dr jaman awal transaksi hnya kena biaya x tnpa bunga smpai migrasi akhirnya kena bunga hari ganti hp tagihan bayar penuh pdahal tgl jatuh tempo msih tanggal mnggu depan",0,1
"kirim barang go send anter anter go ride pergi jauhan go car makan cepet go food semuuaaaa gojekin ajaaa",0,1
"habis diupdate fitur melihat voucher gofood jadi gak",0,1
"thank you semoga akun ku banyak promo gofood lebih besar",0.6,2
"overall membantu pergerakan lewat goride gocar driver mau ambil kalo pilih pake gocar goride hemat padahal tambahan voucher jadi meringankan sekali sering mengandalkan gosend bisnis jadi percuma sebaiknya one system aja gak usah pilih pilh kayak gitu customer udah seneng driver ndak mau ambil",0,1
"gotix kok nga min",0,1
great,0,1
"supirnya mau menjawab apa yg kira tanyakan orgnya supel",0,1
"jadi solusi banget ga waktu keluar rumah",0,1
"sangat membantu",0,1
"not yo bad",0,1
"aplikasi pilihan gocar hemat percuma udah dapet driver cancle terus sampe kali ga efektif gocar hemat apk",0,1
"respon cepat",0,1
"sangat membantu mudah pesanya",0,1
"sangat bermanfaat sekali butuhkan keadaan urgent",0,1
"sih update lg ky mau ambil kota",0,1
top,0,1
"tambah parah ni aplikasi jaringan bagustpi gagal terusktnya sinyalaneh",-1.1,0
mantap,1,2
"pelayanan bagus bagus",1,2
"terima kasih gojek",0,1
